Timestamp,Sentence, Topic, Summary
00:03:59.230,"we have two groups of numbers. As you can see on you, we have whole numbers, whole numbers, and we have decimal numbers. For whole numbers, we can define the number. In programming languages like C, like C plus plus, like Java, you can say, I would like to define a number to create a variable which is called x appetite integer. So this means that these locations, it will store whole number."
00:04:36.300,"It can store value like seven, like five, like minus nine, but it cannot store value like 0.5 because you define the number as whole number. We have different types of whole numbers. In general, whole numbers can be, when it comes to computer course you can define the number as chart, you can use short, you can use end, you can use long end. And mainly in these courses you see similar things in different programming languages. But mainly we'll talk about the main difference between them is the size."
00:05:21.640,"So when you define x as a variable of a type, shard means x would be just one byte. We're going to just have, and as we said last time, byte means we have eight bits to have a location that would store value, which is whole value, and the maximum size is one byte, which means that the total number of possibilities which we can store here will be 256. Two, four, eight, yes."
00:05:58.770,"Now if you would like to be with larger numbers, then you have to use other data types, something like short, let's say when you define something of the type short, most compilers will make two bytes actually for you and store your variable in two bytes. When you define something of a type integer, most compilers will make it four. Four bytes and you can store something in four bytes. When you define something as long end, it means you have eight bytes, which means you have more possibilities to sort it. But this is not standard."
00:06:29.660,"I mean the size itself, two by four by eight by. It might be different from one compiler to another compiler, but in general this is what most of them will follow. Now we need to differentiate also between two things when it comes to professional definition of these values. So what you can do, you can say, okay, I would like to define, in programming languages like C, you can be more specific and you can say, okay, I would like to define one byte. When I would like to call it x."
00:07:09.980,"And I'm going to store whole numbers in these things, but I would like these to be unsigned. You can write like this in C and keep yourself and you can say, no, I would like this to be time."
00:07:28.590,"There are two options. You can just define the same location to store signed number or to store unsigned value. And the main difference between them many, is the number of the range as well. So this is one byte and this is one byte as well. Both of them same size."
00:07:48.630,"In here we have two power, eight different possibilities. So we have 256, we have 266 different options in each one of them. But the range would be different. If you define this location as unsigned char, it means that you can store here any value from zero to 255."
00:08:13.870,"So the maximum number which you can store here, you can write x equal to 255 and that would be fine. When you define x as sine chart, it means that the location will store sign value, which means that the smallest number will be -128 and the maximum number will be as far as the number 127. So you will not be able to say, you will not be able to say store NY 255 or 230. Let's say this will give you an error message because the maximum value that can be stored here is 127. Does make sense."
00:09:01.150,"And you can also any question, first of all, it also assigned just takes up one bit. We'll talk about the sign, just give me some time. But in general, so in general, you can be specific. In most of the programming languages that will give you a lot like a lot of control. Actually some programming languages, they don't give you these options."
00:09:30.360,"You can just define something as n or as char or as whatever. But some other programming language, they give you these options. Now in C, in specific you have two options. In C you can define something as chart and you can define something as nsign chart. So when you write chart, this is equivalent to sine sharp."
00:09:59.730,"So you write like this, or you write like this, same thing. You can define something as int and you can define something as unsigned int. When you write int, it means you mean sign int. That would mean you can define something as assured you can define something as unsigned short. When you write short it means sign short."
00:10:29.420,"You can define something as long n, which means sine long n. So by default if you don't mention anything, the compiler will consider that you mean you would like to solve diamonds."
00:10:46.590,"So we differentiate between signed and unsigned value. And the main reason to explain about that, because we would like just to see how these numbers are represented incompetent of course, we have the other type of numbers, the float numbers, as we said before. So we have numbers like zero point 75, 2.48. For whole numbers, we differentiate, as we said, between sign and unsigned."
00:11:17.130,"Let's just have a look. Let's see what we mean, how each one of them will be represented. Now for unsigned numbers, unsigned numbers name. If you have value like seven, as you can see, here's like seven. Then when you say to the computer, when you write as an instruction, okay, I would like to define unsigned sharp x."
00:11:50.160,"And I would like to store in it the value seven. Then what the computer will do, let's say it will define location in the memory of a size one byte and will store in this location what is equivalent to these seven in binary. So seven in binary is equivalent to 1001. Yeah. Is it like this again?"
00:12:29.230,"How many zeros? 503150. P one. Yes, you're right."
00:12:38.450,That was nine. Correct. So this is seven. Yeah. So that's what the computer will do.
00:12:49.820,"As you can see here, it will just find the equivalent representation of the value in binary. And it will store it straight away. It's just unsigned number. I don't care about the sign in this case, it will just figure out what's equivalent to these value and will store sequence of zeros and ones that matches these value in binary. Same thing."
00:13:12.030,"Let's say when we define ten, same thing. When you store, let's say 40, we store 50. The main difference between when you say unsigned short and unsigned n, let's say x or y equals seven, it will be the same thing. The same representation will be used. But instead using one byte, four bytes would be used."
00:13:39.990,"In these days, the same value would be 41100. And bunch of zeros would be print here. But we just take more pipes."
00:14:02.090,Do I have any question?
